date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:25	2538/2538	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Aug%202021%2012:59:25%20GMT	https://gregg.angelfishy.net/robots.txt		(from )
18:29:25	17511/17511	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:25%20GMT	https://gregg.angelfishy.net/	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/index.html	(from )
18:29:25	1170/1170	---M-Z	200	added ('OK')	text/css	etag:%22492-48f27dbcd3d40-gzip%22	https://gregg.angelfishy.net/main.css	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/main.css	(from https://gregg.angelfishy.net/)
18:29:25	4662/4662	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:%221236-3ea88dc52d5c0-gzip%22	https://gregg.angelfishy.net/gregg.ico	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/gregg.ico	(from https://gregg.angelfishy.net/)
18:29:26	3100/3100	---M--	200	added ('OK')	image/gif	etag:%22c1c-3e4eff623f400%22	https://gregg.angelfishy.net/images/title3.gif	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/images/title3.gif	(from https://gregg.angelfishy.net/)
18:29:26	3015/3015	---M--	200	added ('OK')	image/gif	etag:%22bc7-48f2765d81880%22	https://gregg.angelfishy.net/images/gpco2.gif	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/images/gpco2.gif	(from https://gregg.angelfishy.net/)
18:29:26	299/299	---M--	200	added ('OK')	image/gif	etag:%2212b-3f03adb1cd040%22	https://gregg.angelfishy.net/images/title2.gif	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/images/title2.gif	(from https://gregg.angelfishy.net/)
18:29:27	17511/17511	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:27%20GMT	https://gregg.angelfishy.net/index.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/index-2.html	(from https://gregg.angelfishy.net/)
18:29:27	22109/22109	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:27%20GMT	https://gregg.angelfishy.net/jc.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/jc.html	(from https://gregg.angelfishy.net/)
18:29:27	18934/18934	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:27%20GMT	https://gregg.angelfishy.net/repnotb3.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/repnotb3.html	(from https://gregg.angelfishy.net/)
18:29:27	11050/11050	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:27%20GMT	https://gregg.angelfishy.net/repnotb1.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/repnotb1.html	(from https://gregg.angelfishy.net/)
18:29:28	12110/12110	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:28%20GMT	https://gregg.angelfishy.net/repnotb2.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/repnotb2.html	(from https://gregg.angelfishy.net/)
18:29:28	15179/15179	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:28%20GMT	https://gregg.angelfishy.net/abpreann.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/abpreann.html	(from https://gregg.angelfishy.net/)
18:29:28	13878/13878	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:28%20GMT	https://gregg.angelfishy.net/preannireference.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/preannireference.html	(from https://gregg.angelfishy.net/)
18:29:28	72043/72043	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:28%20GMT	https://gregg.angelfishy.net/preanbfs.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/preanbfs.html	(from https://gregg.angelfishy.net/)
18:29:29	11400/11400	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:29%20GMT	https://gregg.angelfishy.net/abannive.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/abannive.html	(from https://gregg.angelfishy.net/)
18:29:29	11919/11919	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:29%20GMT	https://gregg.angelfishy.net/annireading.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/annireading.html	(from https://gregg.angelfishy.net/)
18:29:29	14585/14585	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:29%20GMT	https://gregg.angelfishy.net/annireference.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/annireference.html	(from https://gregg.angelfishy.net/)
18:29:29	85407/85407	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:30%20GMT	https://gregg.angelfishy.net/anbfs.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/anbfs.html	(from https://gregg.angelfishy.net/)
18:29:30	9132/9132	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:30%20GMT	https://gregg.angelfishy.net/anphrase.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/anphrase.html	(from https://gregg.angelfishy.net/)
18:29:30	11318/11318	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:30%20GMT	https://gregg.angelfishy.net/absimpli.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/absimpli.html	(from https://gregg.angelfishy.net/)
18:29:30	52049/52049	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:30%20GMT	https://gregg.angelfishy.net/smpbfs.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/smpbfs.html	(from https://gregg.angelfishy.net/)
18:29:31	11011/11011	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:31%20GMT	https://gregg.angelfishy.net/dupraw.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/dupraw.html	(from https://gregg.angelfishy.net/)
18:29:31	13003/13003	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:31%20GMT	https://gregg.angelfishy.net/abdiamon.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/abdiamon.html	(from https://gregg.angelfishy.net/)
18:29:31	23278/23278	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:31%20GMT	https://gregg.angelfishy.net/djbfs.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/djbfs.html	(from https://gregg.angelfishy.net/)
18:29:31	29943/29943	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:31%20GMT	https://gregg.angelfishy.net/djebfs.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/djebfs.html	(from https://gregg.angelfishy.net/)
18:29:32	12047/12047	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:32%20GMT	https://gregg.angelfishy.net/absrs90.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/absrs90.html	(from https://gregg.angelfishy.net/)
18:29:32	21650/21650	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:32%20GMT	https://gregg.angelfishy.net/s90bfs.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/s90bfs.html	(from https://gregg.angelfishy.net/)
18:29:32	12979/12979	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:32%20GMT	https://gregg.angelfishy.net/abcenten.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/abcenten.html	(from https://gregg.angelfishy.net/)
18:29:32	23928/23928	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:32%20GMT	https://gregg.angelfishy.net/cenbfs.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/cenbfs.html	(from https://gregg.angelfishy.net/)
18:29:33	29590/29590	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2012:59:33%20GMT	https://gregg.angelfishy.net/taquibfs.shtml	C:/Users/Praveen%20Mehta/OneDrive/Website%20Downloads/gregg.angelfishy.net/gregg.angelfishy.net/taquibfs.html	(from https://gregg.angelfishy.net/)
